line,event,class,unit,title
57,open,notice,1,Clear Sentence Structure
69,close,notice,1,Clear Sentence Structure
71,open,learn,1,Clear Sentence Structure
78,close,learn,1,Clear Sentence Structure
82,open,learn,1,Clear Sentence Structure
90,close,learn,1,Clear Sentence Structure
92,open,example-bad,1,Clear Sentence Structure
96,close,example-bad,1,Clear Sentence Structure
98,open,example-good,1,Clear Sentence Structure
102,close,example-good,1,Clear Sentence Structure
104,open,learn,1,Clear Sentence Structure
114,close,learn,1,Clear Sentence Structure
118,open,language,1,Clear Sentence Structure
132,close,language,1,Clear Sentence Structure
135,open,notice,1,Clear Sentence Structure
145,close,notice,1,Clear Sentence Structure
148,open,write,1,Clear Sentence Structure
160,close,write,1,Clear Sentence Structure
162,open,learn,1,Clear Sentence Structure
172,close,learn,1,Clear Sentence Structure
174,open,learn,1,Clear Sentence Structure
187,close,learn,1,Clear Sentence Structure
190,open,rewrite,1,Clear Sentence Structure
211,close,rewrite,1,Clear Sentence Structure
215,open,rewrite,1,Clear Sentence Structure
236,close,rewrite,1,Clear Sentence Structure
241,open,write,1,Clear Sentence Structure
253,close,write,1,Clear Sentence Structure
257,open,edit,1,Clear Sentence Structure
278,close,edit,1,Clear Sentence Structure
282,open,edit,1,Clear Sentence Structure
291,close,edit,1,Clear Sentence Structure
293,open,write,1,Clear Sentence Structure
303,close,write,1,Clear Sentence Structure
307,open,write,1,Clear Sentence Structure
328,close,write,1,Clear Sentence Structure
330,open,write,1,Clear Sentence Structure
338,close,write,1,Clear Sentence Structure
352,open,notice,2,Professional Tone Basics
364,close,notice,2,Professional Tone Basics
366,open,learn,2,Professional Tone Basics
372,close,learn,2,Professional Tone Basics
376,open,learn,2,Professional Tone Basics
380,close,learn,2,Professional Tone Basics
382,open,example-bad,2,Professional Tone Basics
386,close,example-bad,2,Professional Tone Basics
388,open,example-good,2,Professional Tone Basics
392,close,example-good,2,Professional Tone Basics
394,open,learn,2,Professional Tone Basics
405,close,learn,2,Professional Tone Basics
412,open,language,2,Professional Tone Basics
420,close,language,2,Professional Tone Basics
423,open,rewrite,2,Professional Tone Basics
444,close,rewrite,2,Professional Tone Basics
451,open,learn,2,Professional Tone Basics
465,close,learn,2,Professional Tone Basics
467,open,learn,2,Professional Tone Basics
479,close,learn,2,Professional Tone Basics
482,open,rewrite,2,Professional Tone Basics
503,close,rewrite,2,Professional Tone Basics
510,open,language,2,Professional Tone Basics
532,close,language,2,Professional Tone Basics
537,open,example-bad,2,Professional Tone Basics
543,close,example-bad,2,Professional Tone Basics
545,open,rewrite,2,Professional Tone Basics
561,close,rewrite,2,Professional Tone Basics
572,open,edit,2,Professional Tone Basics
583,close,edit,2,Professional Tone Basics
587,open,write,2,Professional Tone Basics
605,close,write,2,Professional Tone Basics
614,open,edit,2,Professional Tone Basics
635,close,edit,2,Professional Tone Basics
646,open,write,2,Professional Tone Basics
665,close,write,2,Professional Tone Basics
674,open,write,2,Professional Tone Basics
680,close,write,2,Professional Tone Basics
683,open,edit,2,Professional Tone Basics
690,close,edit,2,Professional Tone Basics
694,open,write,2,Professional Tone Basics
703,close,write,2,Professional Tone Basics
724,open,learn,3,Paragraph Structure
746,close,learn,3,Paragraph Structure
750,open,learn,3,Paragraph Structure
765,close,learn,3,Paragraph Structure
769,open,notice,3,Paragraph Structure
783,close,notice,3,Paragraph Structure
787,open,learn,3,Paragraph Structure
800,close,learn,3,Paragraph Structure
802,open,learn,3,Paragraph Structure
812,close,learn,3,Paragraph Structure
816,open,language,3,Paragraph Structure
824,close,language,3,Paragraph Structure
827,open,example-good,3,Paragraph Structure
831,close,example-good,3,Paragraph Structure
833,open,notice,3,Paragraph Structure
863,close,notice,3,Paragraph Structure
865,open,learn,3,Paragraph Structure
879,close,learn,3,Paragraph Structure
881,open,learn,3,Paragraph Structure
890,close,learn,3,Paragraph Structure
892,open,write,3,Paragraph Structure
925,close,write,3,Paragraph Structure
935,open,example-bad,3,Paragraph Structure
943,close,example-bad,3,Paragraph Structure
945,open,rewrite,3,Paragraph Structure
951,close,rewrite,3,Paragraph Structure
962,open,edit,3,Paragraph Structure
971,close,edit,3,Paragraph Structure
975,open,write,3,Paragraph Structure
989,close,write,3,Paragraph Structure
999,open,example-bad,3,Paragraph Structure
