unit,title,line,type,id,rows,has_rows,duplicate_id_count,context,raw
1,Clear Sentence Structure,159,PH-1,U01-lang1-build-sentences,5,True,1,,{{PH-1: U01-lang1-build-sentences | rows=5}}
1,Clear Sentence Structure,197,PH-1,U01-C-simplify-1,2,True,1,::: rewrite,{{PH-1: U01-C-simplify-1 | rows=2}}
1,Clear Sentence Structure,201,PH-1,U01-C-simplify-2,2,True,1,,{{PH-1: U01-C-simplify-2 | rows=2}}
1,Clear Sentence Structure,205,PH-1,U01-C-simplify-3,2,True,1,,{{PH-1: U01-C-simplify-3 | rows=2}}
1,Clear Sentence Structure,209,PH-1,U01-C-simplify-4,2,True,1,,{{PH-1: U01-C-simplify-4 | rows=2}}
1,Clear Sentence Structure,222,PH-1,U01-D-rewrite-1,2,True,1,::: rewrite,{{PH-1: U01-D-rewrite-1 | rows=2}}
1,Clear Sentence Structure,226,PH-1,U01-D-rewrite-2,2,True,1,,{{PH-1: U01-D-rewrite-2 | rows=2}}
1,Clear Sentence Structure,230,PH-1,U01-D-rewrite-3,2,True,1,,{{PH-1: U01-D-rewrite-3 | rows=2}}
1,Clear Sentence Structure,234,PH-1,U01-D-rewrite-4,2,True,1,,{{PH-1: U01-D-rewrite-4 | rows=2}}
1,Clear Sentence Structure,252,PH-3,U01-freer-document,8,True,1,,{{PH-3: U01-freer-document | rows=8}}
1,Clear Sentence Structure,264,PH-1,U01-G-rewrite-1,2,True,1,::: edit,{{PH-1: U01-G-rewrite-1 | rows=2}}
1,Clear Sentence Structure,268,PH-1,U01-G-rewrite-2,2,True,1,,{{PH-1: U01-G-rewrite-2 | rows=2}}
1,Clear Sentence Structure,272,PH-1,U01-G-rewrite-3,2,True,1,,{{PH-1: U01-G-rewrite-3 | rows=2}}
1,Clear Sentence Structure,276,PH-1,U01-G-rewrite-4,2,True,1,,{{PH-1: U01-G-rewrite-4 | rows=2}}
1,Clear Sentence Structure,302,PH-1,U01-reflection,4,True,1,,{{PH-1: U01-reflection | rows=4}}
1,Clear Sentence Structure,323,PH-1,U01-transfer-two-sentences,2,True,1,,{{PH-1: U01-transfer-two-sentences | rows=2}}
1,Clear Sentence Structure,327,PH-3,U01-transfer-response,6,True,1,,{{PH-3: U01-transfer-response | rows=6}}
1,Clear Sentence Structure,337,PH-3,U01-homework-document,8,True,1,::: write,{{PH-3: U01-homework-document | rows=8}}
2,Professional Tone Basics,430,PH-1,U02-C-rewrite-1,2,True,1,::: rewrite,{{PH-1: U02-C-rewrite-1 | rows=2}}
2,Professional Tone Basics,434,PH-1,U02-C-rewrite-2,2,True,1,,{{PH-1: U02-C-rewrite-2 | rows=2}}
2,Professional Tone Basics,438,PH-1,U02-C-rewrite-3,2,True,1,,{{PH-1: U02-C-rewrite-3 | rows=2}}
2,Professional Tone Basics,442,PH-1,U02-C-rewrite-4,2,True,1,,{{PH-1: U02-C-rewrite-4 | rows=2}}
2,Professional Tone Basics,449,PH-1,U02-lang1-polite-request,2,True,1,,{{PH-1: U02-lang1-polite-request | rows=2}}
2,Professional Tone Basics,489,PH-1,U02-C-rewrite-5,2,True,1,::: rewrite,{{PH-1: U02-C-rewrite-5 | rows=2}}
2,Professional Tone Basics,493,PH-1,U02-C-rewrite-6,2,True,1,,{{PH-1: U02-C-rewrite-6 | rows=2}}
2,Professional Tone Basics,497,PH-1,U02-C-rewrite-7,2,True,1,,{{PH-1: U02-C-rewrite-7 | rows=2}}
2,Professional Tone Basics,501,PH-1,U02-C-rewrite-8,2,True,1,,{{PH-1: U02-C-rewrite-8 | rows=2}}
2,Professional Tone Basics,508,PH-1,U02-lang2-tone,2,True,1,,{{PH-1: U02-lang2-tone | rows=2}}
2,Professional Tone Basics,568,PH-3,U02-guided-document,10,True,1,,{{PH-3: U02-guided-document | rows=10}}
2,Professional Tone Basics,610,PH-3,U02-freer-document,10,True,1,,{{PH-3: U02-freer-document | rows=10}}
